index,mid,display_name
0,/m/09x0r,"Speech"
1,/m/05zppz,"Male speech, man speaking"
2,/m/02zsn,"Female speech, woman speaking"
3,/m/0ytgt,"Child speech, kid speaking"
4,/m/01h8n0,"Conversation"
5,/m/02qn3b,"Narration, monologue"
6,/m/02lzp,"Babbling"
7,/m/05w20,"Speech synthesizer"
8,/m/0ve0l,"Shout"
9,/m/03qc9zr,"Bellow"
10,/m/02rtxlg,"Whoop"
11,/m/01h3n,"Yell"
12,/m/02kf2k,"Battle cry"
13,/t/dd00135,"Children shouting"
14,/m/03q5_w,"Screaming"
15,/m/01j3sz,"Whispering"
16,/m/01d3sd,"Laughter"
17,/m/07r660_,"Baby laughter"
18,/m/07s0s5,"Giggle"
19,/m/06bxc,"Snicker"
20,/m/05r5c,"Belly laugh"
21,/m/01j423,"Chuckle, chortle"
22,/m/0463t4,"Crying, sobbing"
23,/m/07qf0yl,"Baby cry, infant crying"
24,/m/01j3t7,"Whimper"
25,/m/02p3q_x,"Wail, moan"
26,/m/02sgy,"Sigh"
27,/m/015lz1,"Singing"
28,/m/0l14jd,"Choir"
29,/m/01swh1,"Yodeling"
30,/m/026t6,"Chant"
31,/m/01j2s8,"Mantra"
32,/m/02bk07,"Male singing"
33,/m/02fxyj,"Female singing"
34,/m/0239t5,"Child singing"
35,/m/04p5x3,"Synthetic singing"
36,/m/03m5k,"Rapping"
37,/m/01j2p7,"Humming"
38,/m/081rb,"Groan"
39,/m/01j3sp,"Grunt"
40,/m/01s0vc,"Whistling"
41,/m/01j3sz,"Breathing"
42,/m/07pyy8b,"Wheeze"
43,/m/02rcwj,"Snoring"
44,/m/01j3t0,"Gasp"
45,/m/01j3t5,"Pant"
46,/m/01j3sy,"Snort"
47,/m/01b_21,"Cough"
48,/m/01h8j4,"Throat clearing"
49,/m/01j3tg,"Sneeze"
50,/m/01j3sf,"Sniff"
51,/m/04s8y,"Run"
52,/m/07pbtc8,"Shuffle"
53,/m/07q7d14,"Walk, footsteps"
54,/m/07s0dtb,"Chewing, mastication"
55,/m/03cczk,"Biting"
56,/m/07plz5l,"Gargling"
57,/m/01j3tx,"Stomach rumble"
58,/m/07ppn3j,"Burping, eructation"
59,/m/07pbf8k,"Hiccup"
60,/m/07s2xch,"Fart"
61,/m/012f08,"Hands"
62,/m/0k65p,"Finger snapping"
63,/m/0l14_3,"Clapping"
64,/m/025_jnm,"Heart sounds, heartbeat"
65,/m/01ka_p,"Heart murmur"
66,/m/0284vy3,"Cheering"
67,/m/02x984l,"Applause"
68,/m/02_n86,"Chatter"
69,/m/07rkbfh,"Crowd"
70,/m/03qtwd,"Hubbub, babel, brawl, brouhaha"
71,/m/07q4ntr,"Children playing"
72,/m/068hy,"Animal"
73,/m/0jbk,"Domestic animals, pets"
74,/m/0bt9lr,"Dog"
75,/m/05tny_,"Bark"
76,/m/07r4k75,"Yip"
77,/m/07r_80w,"Howl"
78,/m/07r04,"Bow-wow"
79,/m/07qf0mr,"Growling"
80,/m/07s04w4,"Whimper (dog)"
81,/m/01yrx,"Cat"
82,/m/020bb7,"Purr"
83,/m/07r_k2n,"Meow"
84,/m/07q2z82,"Hiss"
85,/m/07q66t1,"Caterwaul"
86,/m/03k3r,"Horse"
87,/m/07qjznl,"Clip-clop"
88,/m/07q7kjd,"Neigh, whinny"
89,/m/01xq0k1,"Cattle, bovinae"
90,/m/02021,"Moo"
91,/m/07r10fb,"Cowbell"
92,/m/07q5d90,"Pig"
93,/m/07q8k13,"Oink"
94,/m/025rv6n,"Goat"
95,/m/07qf0ns,"Bleat"
96,/m/07r565i,"Sheep"
97,/m/07q3m1s,"Fowl"
98,/m/09b5t,"Chicken, rooster"
99,/m/07r1004,"Cluck"
100,/m/07q3h1t,"Crowing, cock-a-doodle-doo"
101,/m/01280g,"Turkey"
102,/m/07r5w1p,"Gobble"
103,/m/0dbvp,"Duck"
104,/m/07qdb04,"Quack"
105,/m/019jd,"Goose"
106,/m/07q4s05,"Honk"
107,/m/07r_0_q,"Wild animals"
108,/m/020_0n,"Roaring cats (lions, tigers)"
109,/m/07q0yl5,"Roar"
110,/m/015p6,"Bird"
111,/m/0202ac,"Bird vocalization, bird call, bird song"
112,/m/07r_k2q,"Chirp, tweet"
113,/m/07qjznw,"Squawk"
114,/m/07q_0g0,"Pigeon, dove"
115,/m/07r10gk,"Coo"
116,/m/01b_06,"Crow"
117,/m/07q6_3z,"Caw"
118,/m/020k1,"Owl"
119,/m/07q53jg,"Hoot"
120,/m/02s4s,"Bird flight, flapping wings"
121,/m/09ld4,"Canidae, dogs, wolves"
122,/m/06d_3,"Rodents, rats, mice"
123,/m/032n05,"Mouse"
124,/m/07q6cdm,"Patter"
125,/m/01h2w,"Insect"
126,/m/07qf024,"Cricket"
127,/m/07r3pys,"Mosquito"
128,/m/07q5365,"Fly, housefly"
129,/m/07pggtn,"Buzz"
130,/m/07r3m1j,"Bee, wasp, etc."
131,/m/03v3qw,"Frog"
132,/m/07r4k79,"Croak"
133,/m/0283d1,"Snake"
134,/m/07q7qzp,"Rattle"
135,/m/0642b4,"Whale vocalization"
136,/m/04rlf,"Music"
137,/m/04szw,"Musical instrument"
138,/m/05148p4,"Plucked string instrument"
139,/m/0342h,"Guitar"
140,/m/042v_gx,"Electric guitar"
141,/m/03g1l4,"Bass guitar"
142,/m/014lz1,"Acoustic guitar"
143,/m/06w87,"Steel guitar, slide guitar"
144,/m/07ln_7,"Tapping (guitar technique)"
145,/m/01kcd,"Strum"
146,/m/0y2f,"Banjo"
147,/m/07c6l,"Sitar"
148,/m/01v1d8,"Mandolin"
149,/m/085jw,"Zither"
150,/m/07s004n,"Ukulele"
151,/m/0l156b,"Keyboard (musical)"
152,/m/05r54,"Piano"
153,/m/013y1f,"Electric piano"
154,/m/01s0ps,"Organ"
155,/m/03q5t,"Harpsichord"
156,/m/01hgjl,"Percussion"
157,/m/0l14md,"Drum kit"
158,/m/02hnl,"Drum"
159,/m/0bm0k,"Snare drum"
160,/m/026z9,"Rimshot"
161,/m/06rvn,"Drum roll"
162,/m/0bm02,"Bass drum"
163,/m/01p970,"Timpani"
164,/m/01qbl,"Tabla"
165,/m/01k_28,"Cymbal"
166,/m/03t3fj,"Hi-hat"
167,/m/0j2kx,"Wood block"
168,/m/06m2k,"Tambourine"
169,/m/02xcfn,"Rattle (instrument)"
170,/m/0319l,"Maraca"
171,/m/01wy6,"Cowbell"
172,/m/0l14t7,"Celesta"
173,/m/018vs,"Chime"
174,/m/03mb9,"Glockenspiel"
175,/m/03q5f,"Vibraphone"
176,/m/06w52,"Steelpan"
177,/m/0l14_l,"Orchestra"
178,/m/02qmj0d,"Brass instrument"
179,/m/03w41f,"French horn"
180,/m/07n_7,"Trumpet"
181,/m/07gql,"Trombone"
182,/m/01k4n,"Bowed string instrument"
183,/m/05x_5,"String section"
184,/m/07y_7,"Violin, fiddle"
185,/m/07s0s9,"Pizzicato"
186,/m/01v64,"Cello"
